Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Pittsburgh,Weekly,"2021-01-17 00:00:00",Conventional,0.890000000,207142.28,52823.35,13709.08,39.98,52074.53,50655.55,455.65,963.33,88495.34
Pittsburgh,Weekly,"2021-01-10 00:00:00",Conventional,1.100000000,158782.97,35031.36,14742.47,9.69,52151.41,50749.19,372.22,1030.00,56848.04
Pittsburgh,Weekly,"2021-01-04 00:00:00",Conventional,0.890000000,185151.70,52059.17,11849.60,1.00,41014.42,39765.53,388.89,860.00,80227.51
Plains,Weekly,"2021-01-24 00:00:00",Conventional,0.870000000,2627286.39,891679.29,509757.28,995.31,732621.48,562153.77,169797.71,670.00,492233.03
Plains,Weekly,"2021-01-17 00:00:00",Conventional,0.680000000,3262991.99,1517230.76,577566.85,884.29,730412.61,552378.70,177567.25,466.66,436897.48
Plains,Weekly,"2021-01-10 00:00:00",Conventional,0.870000000,2692614.55,920663.65,550941.21,1018.74,730841.23,549903.74,180410.82,526.67,489149.72
Plains,Weekly,"2021-01-04 00:00:00",Conventional,0.790000000,2849260.39,976692.22,734475.66,867.61,622861.28,479070.58,143690.70,100.00,514363.62
Portland,Weekly,"2021-01-24 00:00:00",Conventional,0.900000000,905864.43,115248.90,105301.15,4690.62,82587.67,41971.67,40609.33,6.67,598036.09
Portland,Weekly,"2021-01-17 00:00:00",Conventional,0.850000000,1006980.92,118269.18,118779.98,5102.33,179804.59,44150.56,135650.70,3.33,585024.84
Portland,Weekly,"2021-01-10 00:00:00",Conventional,0.970000000,854118.87,129615.04,118150.35,3810.00,91515.67,47007.12,44508.55,0.00,511027.81
Portland,Weekly,"2021-01-04 00:00:00",Conventional,0.930000000,923859.83,113027.33,166151.67,10084.35,107418.28,43657.68,63760.60,0.00,527178.20
Raleigh/Greensboro,Weekly,"2021-01-24 00:00:00",Conventional,0.900000000,536921.95,229620.82,81933.70,6280.97,178077.62,142638.10,35289.52,150.00,41008.84
